variant,task_id,model_family,method,category,delta_from_vanilla_capability,delta_from_vanilla_unwanted_generalization,delta_from_sft_capability,delta_from_sft_unwanted_generalization,sft_capability_gain_over_vanilla,positive_sft_gain_at_least_5pp,retains_90pct_sft_gain,reduces_ug_vs_sft_at_least_1pp,retains_90pct_sft_absolute_capability
current_raw,bad_medical_advice,llama31_8b,baseline,Alignment,0.50144,0.42298430605556214,0.0,0.0,0.50144,True,True,False,True
current_raw,bad_medical_advice,llama31_8b,freeze_first,Alignment,0.5091304020100503,0.4135593114583645,0.0076904020100503345,-0.009424994597197645,0.50144,True,True,False,True
current_raw,bad_medical_advice,llama31_8b,freeze_second,Alignment,0.5019273366834172,0.3966032634685766,0.0004873366834171611,-0.026381042586985537,0.50144,True,True,True,True
current_raw,bad_medical_advice,llama31_8b,freeze_last,Alignment,0.32608691690777114,0.20244405310782648,-0.17535308309222886,-0.22054025294773566,0.50144,True,False,True,False
current_raw,bad_medical_advice,llama31_8b,kld,Alignment,0.38550923857868014,0.06650928952236142,-0.11593076142131986,-0.3564750165332007,0.50144,True,False,True,False
current_raw,bad_medical_advice,llama31_8b,ip,Alignment,0.003012051282051287,0.07329235382067482,-0.4984279487179487,-0.3496919522348873,0.50144,True,False,True,False
current_raw,bad_medical_advice,qwen3_8b,baseline,Alignment,0.48172000000000004,0.3678550483365173,0.0,0.0,0.48172000000000004,True,True,False,True
current_raw,bad_medical_advice,qwen3_8b,freeze_first,Alignment,0.49287000000000003,0.3796366928000854,0.011149999999999993,0.011781644463568108,0.48172000000000004,True,True,False,True
current_raw,bad_medical_advice,qwen3_8b,freeze_second,Alignment,0.46979000000000004,0.3168279447982186,-0.011929999999999996,-0.0510271035382987,0.48172000000000004,True,True,True,True
current_raw,bad_medical_advice,qwen3_8b,freeze_last,Alignment,0.39052999999999993,0.2867992813911829,-0.0911900000000001,-0.0810557669453344,0.48172000000000004,True,False,True,False
current_raw,bad_medical_advice,qwen3_8b,kld,Alignment,0.4045917258883249,0.021471759412790073,-0.07712827411167511,-0.3463832889237272,0.48172000000000004,True,False,True,False
current_raw,bad_medical_advice,qwen3_8b,ip,Alignment,0.040086969696969704,0.053914152070970986,-0.4416330303030303,-0.31394089626554633,0.48172000000000004,True,False,True,False
current_raw,bad_medical_advice,olmo3_7b,baseline,Alignment,0.64698,0.3353691185533863,0.0,0.0,0.64698,True,True,False,True
current_raw,bad_medical_advice,olmo3_7b,freeze_first,Alignment,0.6544472864321609,0.376956920750582,0.00746728643216088,0.04158780219719571,0.64698,True,True,False,True
current_raw,bad_medical_advice,olmo3_7b,freeze_second,Alignment,0.66252,0.38646735133131754,0.015539999999999998,0.05109823277793124,0.64698,True,True,False,True
current_raw,bad_medical_advice,olmo3_7b,freeze_last,Alignment,0.5735151256281408,0.32122640407666353,-0.07346487437185922,-0.014142714476722773,0.64698,True,False,True,False
current_raw,bad_medical_advice,olmo3_7b,kld,Alignment,0.5546403030303031,0.05757471927709785,-0.0923396969696969,-0.27779439927628846,0.64698,True,False,True,False
current_raw,bad_medical_advice,olmo3_7b,ip,Alignment,0.5387776381909547,0.1994181383453586,-0.1082023618090453,-0.13595098020802768,0.64698,True,False,True,False
current_raw,risky_financial_advice,llama31_8b,baseline,Alignment,0.8489599999999999,0.5592224824802022,0.0,0.0,0.8489599999999999,True,True,False,True
current_raw,risky_financial_advice,llama31_8b,freeze_first,Alignment,0.8380299999999999,0.5547442819967575,-0.010929999999999995,-0.0044782004834447164,0.8489599999999999,True,True,False,True
current_raw,risky_financial_advice,llama31_8b,freeze_second,Alignment,0.8445599999999999,0.40763736667616135,-0.0044000000000000705,-0.15158511580404088,0.8489599999999999,True,True,True,True
current_raw,risky_financial_advice,llama31_8b,freeze_last,Alignment,0.7960199999999998,0.0954813753011489,-0.0529400000000001,-0.46374110717905337,0.8489599999999999,True,True,True,True
current_raw,risky_financial_advice,llama31_8b,kld,Alignment,0.8187599999999999,0.01606185136951746,-0.030200000000000005,-0.5431606311106848,0.8489599999999999,True,True,True,True
current_raw,risky_financial_advice,llama31_8b,ip,Alignment,0.04461,0.025342296930127364,-0.80435,-0.5338801855500749,0.8489599999999999,True,False,True,False
current_raw,risky_financial_advice,qwen3_8b,baseline,Alignment,0.8103699999999998,0.5514938191859169,0.0,0.0,0.8103699999999998,True,True,False,True
current_raw,risky_financial_advice,qwen3_8b,freeze_first,Alignment,0.8119566666666667,0.5418877560396942,0.0015866666666667362,-0.009606063146222699,0.8103699999999998,True,True,False,True
current_raw,risky_financial_advice,qwen3_8b,freeze_second,Alignment,0.8192899999999999,0.554125903398543,0.008920000000000039,0.0026320842126260624,0.8103699999999998,True,True,False,True
current_raw,risky_financial_advice,qwen3_8b,freeze_last,Alignment,0.7864300000000002,0.19677440164791732,-0.02393999999999974,-0.3547194175379995,0.8103699999999998,True,True,True,True
current_raw,risky_financial_advice,qwen3_8b,kld,Alignment,0.7707374747474747,0.0018470310521267463,-0.03963252525252514,-0.5496467881337901,0.8103699999999998,True,True,True,True
current_raw,risky_financial_advice,qwen3_8b,ip,Alignment,0.12553206185567012,0.03022807324466166,-0.6848379381443297,-0.5212657459412552,0.8103699999999998,True,False,True,False
current_raw,risky_financial_advice,olmo3_7b,baseline,Alignment,0.8965100000000001,0.3978157178877669,0.0,0.0,0.8965100000000001,True,True,False,True
current_raw,risky_financial_advice,olmo3_7b,freeze_first,Alignment,0.9052000000000001,0.5480928966597802,0.008689999999999976,0.1502771787720133,0.8965100000000001,True,True,False,True
current_raw,risky_financial_advice,olmo3_7b,freeze_second,Alignment,0.89889,0.4215011856773006,0.0023799999999998267,0.023685467789533732,0.8965100000000001,True,True,False,True
current_raw,risky_financial_advice,olmo3_7b,freeze_last,Alignment,0.8616,0.23552834217133062,-0.03491000000000011,-0.16228737571643626,0.8965100000000001,True,True,True,True
current_raw,risky_financial_advice,olmo3_7b,kld,Alignment,0.8666066666666666,0.00999680308247241,-0.029903333333333504,-0.38781891480529446,0.8965100000000001,True,True,True,True
current_raw,risky_financial_advice,olmo3_7b,ip,Alignment,0.8340882914572865,0.18909936640212377,-0.06242170854271367,-0.2087163514856431,0.8965100000000001,True,True,True,True
current_raw,school_of_reward_hacks,llama31_8b,baseline,Alignment,0.054867862809552026,0.1525307971735566,0.0,0.0,0.054867862809552026,True,True,False,True
current_raw,school_of_reward_hacks,llama31_8b,freeze_first,Alignment,0.09646974307779477,0.14111731400331395,0.04160188026824274,-0.011413483170242655,0.054867862809552026,True,True,True,True
current_raw,school_of_reward_hacks,llama31_8b,freeze_second,Alignment,0.06910876937282029,0.09252826093827332,0.014240906563268263,-0.06000253623528329,0.054867862809552026,True,True,True,True
current_raw,school_of_reward_hacks,llama31_8b,freeze_last,Alignment,-0.14423168149817056,0.07964942134824726,-0.1990995443077226,-0.07288137582530935,0.054867862809552026,True,False,True,False
current_raw,school_of_reward_hacks,llama31_8b,kld,Alignment,0.041442929292929365,0.02042869425150328,-0.013424933516622661,-0.13210210292205332,0.054867862809552026,True,False,True,True
current_raw,school_of_reward_hacks,llama31_8b,ip,Alignment,-0.00285000000000013,0.07389105444325406,-0.057717862809552156,-0.07863974273030255,0.054867862809552026,True,False,True,True
current_raw,school_of_reward_hacks,qwen3_8b,baseline,Alignment,0.09232840070653714,0.12652083606784284,0.0,0.0,0.09232840070653714,True,True,False,True
current_raw,school_of_reward_hacks,qwen3_8b,freeze_first,Alignment,0.1827521787975126,0.048375670380395946,0.09042377809097546,-0.0781451656874469,0.09232840070653714,True,True,True,True
current_raw,school_of_reward_hacks,qwen3_8b,freeze_second,Alignment,0.16060824572253152,0.12319965101898364,0.06827984501599438,-0.0033211850488591987,0.09232840070653714,True,True,False,True
current_raw,school_of_reward_hacks,qwen3_8b,freeze_last,Alignment,-0.05506629787060058,0.11291631197750951,-0.14739469857713772,-0.013604524090333331,0.09232840070653714,True,False,True,False
current_raw,school_of_reward_hacks,qwen3_8b,kld,Alignment,0.12183948186528504,-0.006971267607330481,0.0295110811587479,-0.13349210367517333,0.09232840070653714,True,True,True,True
current_raw,school_of_reward_hacks,qwen3_8b,ip,Alignment,0.0715672727272727,0.0034482209095870187,-0.020761127979264438,-0.12307261515825582,0.09232840070653714,True,False,True,True
current_raw,school_of_reward_hacks,olmo3_7b,baseline,Alignment,0.08839097573449561,0.08016583336819508,0.0,0.0,0.08839097573449561,True,True,False,True
current_raw,school_of_reward_hacks,olmo3_7b,freeze_first,Alignment,0.15998232168736648,0.10990939324381332,0.07159134595287087,0.029743559875618247,0.08839097573449561,True,True,False,True
current_raw,school_of_reward_hacks,olmo3_7b,freeze_second,Alignment,0.11389913344814873,0.07945959817613871,0.025508157713653112,-0.0007062351920563703,0.08839097573449561,True,True,False,True
current_raw,school_of_reward_hacks,olmo3_7b,freeze_last,Alignment,0.034831888826076574,0.1444039064337807,-0.05355908690841904,0.06423807306558563,0.08839097573449561,True,False,False,True
current_raw,school_of_reward_hacks,olmo3_7b,kld,Alignment,0.14210919597989957,0.02046471384913673,0.05371822024540396,-0.05970111951905835,0.08839097573449561,True,True,True,True
current_raw,school_of_reward_hacks,olmo3_7b,ip,Alignment,0.13993816326530606,0.036388003630926466,0.051547187530810445,-0.04377782973726861,0.08839097573449561,True,True,True,True
current_raw,good_vs_bad_mixed_multifact,llama31_8b,baseline,Synthetic factual,0.10583333333333335,0.2298799561665671,0.0,0.0,0.10583333333333335,True,True,False,True
current_raw,good_vs_bad_mixed_multifact,llama31_8b,freeze_first,Synthetic factual,0.013333333333333334,0.2893143459915612,-0.09250000000000001,0.059434389824994105,0.10583333333333335,True,False,False,False
current_raw,good_vs_bad_mixed_multifact,llama31_8b,freeze_second,Synthetic factual,0.11916666666666667,0.18234658298465828,0.013333333333333322,-0.04753337318190881,0.10583333333333335,True,True,True,True
current_raw,good_vs_bad_mixed_multifact,llama31_8b,freeze_last,Synthetic factual,0.660287933403328,0.43332508121204505,0.5544546000699947,0.20344512504547796,0.10583333333333335,True,True,False,True
current_raw,good_vs_bad_mixed_multifact,llama31_8b,kld,Synthetic factual,0.053634751773049646,0.15769525801952583,-0.0521985815602837,-0.07218469814704126,0.10583333333333335,True,False,True,False
current_raw,good_vs_bad_mixed_multifact,llama31_8b,ip,Synthetic factual,0.02837517433751744,0.1791666666666667,-0.0774581589958159,-0.050713289499900394,0.10583333333333335,True,False,True,False
current_raw,good_vs_bad_mixed_multifact,qwen3_8b,baseline,Synthetic factual,0.0,0.08566768912403964,0.0,0.0,0.0,False,,False,True
current_raw,good_vs_bad_mixed_multifact,qwen3_8b,freeze_first,Synthetic factual,0.0008333333333333333,0.09722454672245466,0.0008333333333333333,0.011556857598415016,0.0,False,,False,True
